T, TWL
1.85E+06,3691
1.75E+06,3448
1.67E+06,3686
1.58E+06,3609
1.50E+06,3536
1.43E+06,3541
1.36E+06,3621
1.29E+06,3492
1.22E+06,3479
1.16E+06,3847
1.10E+06,3654
1.05E+06,3534
997235,3345
947373,3627
900004,3625
855004,3527
812254,3673
771641,3511
733059,3425
696406,3551
661586,3522
628506,3510
597081,3848
567227,3624
538866,3679
511922,3664
486326,3668
462010,3694
438910,3500
416964,3849
396116,3665
376310,3677
357495,3831
339620,3568
322639,3809
306507,3618
291182,3638
276622,3631
262791,3672
249652,3573
237169,3731
225311,3476
214045,3754
203343,3570
193176,3692
183517,3484
174341,3619
165624,3689
157343,3600
149476,3754
142002,3468
134902,3509
128157,3518
121749,3581
115661,3585
109878,3531
104384,3540
99165.3,3546
94207,3639
89496.6,3609
85021.8,3669
80770.7,3522
76732.2,3678
72895.6,3434
69250.8,3617
65788.3,3517
62498.8,3667
59373.9,3547
56405.2,3572
53584.9,3609
50905.7,3658
48360.4,3528
45942.4,3679
43645.3,3583
41463,3438
39389.9,3737
37420.4,3646
35549.3,3553
33771.9,3609
32083.3,3519
30479.1,3635
28955.2,3729
27507.4,3551
26132,3775
24825.4,3536
23584.2,3675
22405,3600
21284.7,3841
20220.5,3508
19209.4,3905
18249,3321
17336.5,3570
16469.7,3781
15646.2,3616
14863.9,3731
14120.7,3809
13414.7,3575
12743.9,3590
12106.7,3487
11501.4,3555
10926.3,3692
10380,3613
9861.02,3862
9367.97,3739
8899.57,3802
8454.59,3499
8031.86,3719
7630.27,3510
7248.75,3794
6886.32,3695
6542,3514
6214.9,3656
5904.16,3776
5608.95,3524
5328.5,3607
5062.08,3742
4808.97,3405
4568.52,3722
4340.1,3378
4123.09,3681
3916.94,3661
3721.09,3676
3535.04,3764
3358.28,3453
3190.37,3698
3030.85,3657
2879.31,3678
2735.34,3702
2598.58,3892
2468.65,3690
2345.22,3622
2227.95,3611
2116.56,3692
2010.73,3486
1910.19,3650
1814.68,3605
1723.95,3528
1637.75,3704
1555.86,3631
1478.07,3633
1404.17,3813
1333.96,3508
1267.26,3542
1203.9,3611
1143.7,3554
1086.52,3546
1032.19,3570
980.582,3592
931.553,3530
884.975,3593
840.727,3558
798.69,3598
758.756,3527
720.818,3562
684.777,3598
650.538,3478
618.011,3557
587.111,3592
557.755,3677
529.868,3617
503.374,3597
478.205,3591
454.295,3510
431.58,3862
410.001,3594
389.501,3531
370.026,3531
351.525,3551
333.949,3469
317.251,3702
301.389,3429
286.319,3531
272.003,3701
258.403,3484
245.483,3584
233.209,3387
221.548,3710
210.471,3604
199.947,3602
189.95,3653
180.453,3439
171.43,3651
162.858,3709
154.715,3574
146.98,3522
139.631,3345
132.649,3603
126.017,3482
119.716,3688
113.73,3501
108.044,3768
102.641,3409
97.5094,3533
92.6339,3463
88.0022,3452
83.6021,3609
79.422,3489
75.4509,3567
71.6783,3555
68.0944,3432
64.6897,3487
61.4552,3637
58.3825,3464
55.4633,3271
52.6902,3319
50.0557,3469
47.5529,3549
45.1752,3392
42.9165,3302
40.7706,3541
38.7321,3325
36.7955,3346
34.9557,3445
33.2079,3364
31.5475,3133
29.9702,3315
28.4717,3380
27.0481,3262
25.6957,3142
24.4109,3276
23.1903,3141
22.0308,3075
20.9293,3151
19.8828,3072
18.8887,2991
17.9442,3241
17.047,3062
16.1947,3116
15.3849,3177
14.6157,3038
13.8849,3106
13.1907,3014
12.5311,3035
11.9046,2798
11.3094,2969
10.7439,2674
10.2067,2770
9.69635,2783
9.21154,2699
8.75096,2761
8.31341,2637
7.89774,2577
7.50285,2665
7.12771,2431
6.77133,2574
6.43276,2329
6.11112,2321
5.80557,2376
5.51529,2307
5.23952,2270
4.97755,2249
4.72867,2329
4.49224,2333
4.26762,2028
4.05424,2170
3.85153,1989
3.65895,1876
3.47601,1895
3.30221,1900
3.1371,1801
2.98024,1729
2.83123,1713
2.68967,1728
2.55518,1643
2.42743,1620
2.30605,1609
2.19075,1586
2.08121,1590
1.97715,1510
1.8783,1455
1.78438,1454
1.69516,1441
1.6104,1405
1.52988,1357
1.45339,1298
1.38072,1277
1.31168,1262
1.2461,1238
1.18379,1202
1.1246,1210
1.06837,1192
1.01496,1181
0.964208,1148
0.915998,1136
0.870198,1107
0.826688,1111
0.785353,1103
0.746086,1095
0.708781,1087
0.673342,1082
0.639675,1045
0.607692,1040
0.577307,1013
0.548442,1005
0.52102,1006
0.494969,1001
0.47022,979
0.446709,962
0.424374,962
0.403155,959
0.382997,951
0.363847,939
0.345655,936
0.328372,935
0.311954,929
0.296356,919
0.281538,915
0.267461,914
0.254088,915
0.241384,916
0.229315,912
0.217849,908
0.206956,907
0.196609,906
0.186778,906
0.177439,904
0.168567,903
0.160139,901
0.152132,900
0.144525,899
0.137299,896
0.130434,896
0.123912,894
0.117717,893
0.111831,893
0.106239,891
0.100927,891
0.0958811,889
0.091087,887
0.0865327,886
0.0822061,886
0.0780958,886
0.074191,885
0.0704814,885
0.0669573,884
0.0636095,884
0.060429,884
0.0574076,884
0.0545372,883
0.0518103,883
0.0492198,883
0.0467588,883
0.0444209,883
0.0421998,882
0.0400898,882
0.0380853,881
0.0361811,881
0.034372,881
0.0326534,881
0.0310208,879
0.0294697,878
0.0279962,878
0.0265964,878
0.0252666,878
0.0240033,878
0.0228031,878
0.0216629,878
0.0205798,878
0.0195508,878
0.0185733,877
0.0176446,877
0.0167624,877
0.0159243,877
0.015128,877
0.0143716,877
0.0136531,877
0.0129704,876
0.0123219,876
0.0117058,876
0.0111205,876
0.0105645,875
0.0100363,875
0.00953444,875
0.00905772,875
0.00860483,873
0.00817459,873
0.00776586,873
0.00737757,873
0.00700869,871
0.00665826,871
0.00632534,871
0.00600908,871
0.00570862,871
0.00542319,871
0.00515203,871
0.00489443,871
0.00464971,869
0.00441722,869
0.00419636,869
0.00398654,869
0.00378722,869
0.00359786,869
0.00341796,869
0.00324706,869
0.00308471,868
0.00293048,868
0.00278395,868
0.00264475,868
0.00251252,867
0.00238689,867
0.00226755,867
0.00215417,867
0.00204646,867
0.00194414,867
0.00184693,867
0.00175458,867
0.00166685,867
0.00158351,867
0.00150434,867
0.00142912,867
0.00135766,867
0.00128978,867
0.00122529,867
0.00116403,867
0.00110583,867
0.00105053,867
0.000998008,867
0.000948107,867
0.000900702,867
0.000855667,867
