T, TWL
3.424e+06,6848
3.2528e+06,6998
3.09016e+06,6780
2.93565e+06,6989
2.78887e+06,6930
2.64943e+06,6971
2.51695e+06,6696
2.39111e+06,6692
2.27155e+06,6848
2.15797e+06,6917
2.05008e+06,6669
1.94757e+06,6789
1.85019e+06,7000
1.75768e+06,6854
1.6698e+06,6909
1.58631e+06,6884
1.50699e+06,6918
1.43164e+06,6899
1.36006e+06,7050
1.29206e+06,6835
1.22746e+06,6794
1.16608e+06,6868
1.10778e+06,6928
1.05239e+06,7006
999770,7074
949782,6848
902293,6927
857178,6711
814319,7133
773603,7002
734923,6766
698177,6754
663268,6907
630105,7034
598599,6700
568670,6926
540236,7054
513224,7082
487563,6903
463185,6937
440026,7000
418024,6594
397123,6861
377267,6921
358404,6798
340483,6959
323459,6830
307286,6955
291922,6934
277326,7000
263460,6908
250287,6893
237772,6861
225884,6876
214589,7110
203860,7033
193667,7054
183984,6870
174784,6758
166045,6923
157743,6860
149856,6924
142363,6824
135245,6841
128483,7178
122059,7021
115956,6909
110158,6968
104650,6921
99417.4,7020
94446.6,6839
89724.2,6849
85238,6935
80976.1,6793
76927.3,6706
73080.9,6952
69426.9,6833
65955.6,7003
62657.8,6938
59524.9,6847
56548.6,6798
53721.2,7071
51035.1,6752
48483.4,7070
46059.2,6903
43756.3,6869
41568.4,7053
39490,6820
37515.5,6748
35639.7,6803
33857.8,6766
32164.9,6872
30556.6,6927
29028.8,6754
27577.4,7012
26198.5,6914
24888.6,6746
23644.1,6831
22461.9,6842
21338.8,6857
20271.9,6625
19258.3,6854
18295.4,6668
17380.6,6956
16511.6,6794
15686,6846
14901.7,6997
14156.6,6866
13448.8,6891
12776.3,7025
12137.5,6898
11530.7,6781
10954.1,6801
10406.4,6823
9886.09,6899
9391.79,6960
8922.2,7013
8476.09,6801
8052.29,6513
7649.67,6957
7267.19,6799
6903.83,6926
6558.64,6766
6230.71,6942
5919.17,6776
5623.21,6907
5342.05,6875
5074.95,7017
4821.2,6992
4580.14,6926
4351.13,6959
4133.58,6660
3926.9,6821
3730.55,6855
3544.03,6772
3366.82,6752
3198.48,6927
3038.56,6949
2886.63,6811
2742.3,6806
2605.18,6976
2474.93,6916
2351.18,6941
2233.62,7108
2121.94,6884
2015.84,6973
1915.05,6943
1819.3,6866
1728.33,6781
1641.92,6806
1559.82,6839
1481.83,7057
1407.74,6935
1337.35,6906
1270.48,6811
1206.96,7110
1146.61,6957
1089.28,7102
1034.82,6928
983.076,6739
933.922,7017
887.226,6905
842.865,6754
800.721,6959
760.685,6768
722.651,6972
686.518,6867
652.193,6748
619.583,6813
588.604,6953
559.174,6796
531.215,6895
504.654,6898
479.421,6972
455.45,6958
432.678,6920
411.044,7010
390.492,6911
370.967,6825
352.419,6987
334.798,6822
318.058,6864
302.155,6944
287.047,6854
272.695,7021
259.06,7013
246.107,6929
233.802,6807
222.112,6854
211.006,6992
200.456,6900
190.433,6918
180.911,6868
171.866,7026
163.273,6932
155.109,6879
147.353,6824
139.986,6758
132.987,6534
126.337,6714
120.02,6942
114.019,6593
108.318,6734
102.902,6865
97.7573,6564
92.8694,6737
88.226,6571
83.8147,6695
79.6239,6866
75.6427,6741
71.8606,6722
68.2676,6575
64.8542,6843
61.6115,6522
58.5309,6848
55.6044,6657
52.8241,6544
50.1829,6715
47.6738,6446
45.2901,6705
43.0256,6598
40.8743,6664
38.8306,6386
36.8891,6613
35.0446,6486
33.2924,6401
31.6278,6482
30.0464,6676
28.5441,6309
27.1169,6416
25.761,6534
